set_num,name,year,theme_id,num_parts,img_url
1030-1,TECHNIC I: Simple Machines Set,1985,1,210,https://cdn.rebrickable.com/media/sets/1030-1.jpg
1038-1,ERBIE the Robo-Car,1985,1,120,https://cdn.rebrickable.com/media/sets/1038-1.jpg
1039-1,Manual Control Set 1,1986,1,39,https://cdn.rebrickable.com/media/sets/1039-1.jpg
1237-1,Honda Promotional Set,2001,1,56,https://cdn.rebrickable.com/media/sets/1237-1.jpg
1257-1,Trike Buggy,1999,1,30,https://cdn.rebrickable.com/media/sets/1257-1.jpg
1258-1,Propellor Buggy,1999,1,29,https://cdn.rebrickable.com/media/sets/1258-1.jpg
1259-1,Motorbike,1999,1,28,https://cdn.rebrickable.com/media/sets/1259-1.jpg
1260-1,Car,1999,1,26,https://cdn.rebrickable.com/media/sets/1260-1.jpg
1268-1,Bike Blaster,1999,1,28,https://cdn.rebrickable.com/media/sets/1268-1.jpg
1924-1,Motorcycle,1983,1,103,https://cdn.rebrickable.com/media/sets/1924-1.jpg
1972-1,Go-Cart,1985,1,98,https://cdn.rebrickable.com/media/sets/1972-1.jpg
2129-1,Blast-Off Dragster,1997,1,64,https://cdn.rebrickable.com/media/sets/2129-1.jpg
2544-1,Motorcycle,1998,1,28,https://cdn.rebrickable.com/media/sets/2544-1.jpg
3000-1,Trike Buggy,1999,1,30,https://cdn.rebrickable.com/media/sets/3000-1.jpg
3001-1,Kabaya Promotional Set: Propeller Buggy,1999,1,29,https://cdn.rebrickable.com/media/sets/3001-1.jpg
3003-1,Motorbike,1999,1,28,https://cdn.rebrickable.com/media/sets/3003-1.jpg
3005-1,Kabaya Promotional Set: Car,1999,1,26,https://cdn.rebrickable.com/media/sets/3005-1.jpg
30433-1,Volvo Wheel Loader,2022,1,69,https://cdn.rebrickable.com/media/sets/30433-1.jpg
30465-1,Helicopter,2021,1,70,https://cdn.rebrickable.com/media/sets/30465-1.jpg
3054-1,Kelloggs Promotional Set: TECHNIC Motorcycle,1998,1,30,https://cdn.rebrickable.com/media/sets/3054-1.jpg
3057-1,Create 'n' Race - Master Builders,2000,1,106,https://cdn.rebrickable.com/media/sets/3057-1.jpg
30655-1,Forklift with Pallet,2023,1,78,https://cdn.rebrickable.com/media/sets/30655-1.jpg
30682-1,NASA Mars Rover Perseverance,2024,1,83,https://cdn.rebrickable.com/media/sets/30682-1.jpg
30710-1,Skid-Steer Loader,2025,1,52,https://cdn.rebrickable.com/media/sets/30710-1.jpg
30735-1,Hot Rod Car,2026,1,83,https://cdn.rebrickable.com/media/sets/30735-1.jpg
30736-1,White Seaplane,2026,1,82,https://cdn.rebrickable.com/media/sets/30736-1.jpg
412401-1,Wrecking Ball Crane,2024,1,86,https://cdn.rebrickable.com/media/sets/412401-1.jpg
412402-1,Helicopter,2024,1,56,https://cdn.rebrickable.com/media/sets/412402-1.jpg
412403-1,Race car,2024,1,81,https://cdn.rebrickable.com/media/sets/412403-1.jpg
412501-1,Fire Truck,2024,1,80,https://cdn.rebrickable.com/media/sets/412501-1.jpg
412502-1,Combine Harvester,2025,1,80,https://cdn.rebrickable.com/media/sets/412502-1.jpg
412503-1,Gyrocopter,2025,1,63,https://cdn.rebrickable.com/media/sets/412503-1.jpg
412504-1,Excavator,2025,1,65,https://cdn.rebrickable.com/media/sets/412504-1.jpg
412505-1,Space Buggy,2025,1,62,https://cdn.rebrickable.com/media/sets/412505-1.jpg
412506-1,Offroader,2025,1,77,https://cdn.rebrickable.com/media/sets/412506-1.jpg
41999-1,4 x 4 Crawler Exclusive Edition,2013,1,1584,https://cdn.rebrickable.com/media/sets/41999-1.jpg
42000-1,Grand Prix Racer,2013,1,1141,https://cdn.rebrickable.com/media/sets/42000-1.jpg
42001-1,Mini Off-Roader,2013,1,100,https://cdn.rebrickable.com/media/sets/42001-1.jpg
42002-1,Hovercraft,2013,1,170,https://cdn.rebrickable.com/media/sets/42002-1.jpg
42004-1,Mini Backhoe Loader,2013,1,246,https://cdn.rebrickable.com/media/sets/42004-1.jpg
42005-1,Monster Truck,2013,1,329,https://cdn.rebrickable.com/media/sets/42005-1.jpg
42006-1,Excavator,2013,1,720,https://cdn.rebrickable.com/media/sets/42006-1.jpg
42007-1,Moto Cross Bike,2013,1,253,https://cdn.rebrickable.com/media/sets/42007-1.jpg
42008-1,Service Truck,2013,1,1276,https://cdn.rebrickable.com/media/sets/42008-1.jpg
42009-1,Mobile Crane MK II,2013,1,2607,https://cdn.rebrickable.com/media/sets/42009-1.jpg
42010-1,Off-Road Racer,2013,1,160,https://cdn.rebrickable.com/media/sets/42010-1.jpg
42011-1,Race Car,2013,1,158,https://cdn.rebrickable.com/media/sets/42011-1.jpg
42020-1,Twin-rotor Helicopter,2014,1,145,https://cdn.rebrickable.com/media/sets/42020-1.jpg
42021-1,Snowmobile,2014,1,186,https://cdn.rebrickable.com/media/sets/42021-1.jpg
42022-1,Hot Rod,2014,1,414,https://cdn.rebrickable.com/media/sets/42022-1.jpg
42023-1,Construction Crew,2014,1,836,https://cdn.rebrickable.com/media/sets/42023-1.jpg
42024-1,Container Truck,2014,1,948,https://cdn.rebrickable.com/media/sets/42024-1.jpg
42025-1,Cargo Plane,2014,1,1297,https://cdn.rebrickable.com/media/sets/42025-1.jpg
42026-1,Black Champion Racer,2014,1,138,https://cdn.rebrickable.com/media/sets/42026-1.jpg
42027-1,Desert Racer,2014,1,149,https://cdn.rebrickable.com/media/sets/42027-1.jpg
42028-1,Bulldozer,2014,1,617,https://cdn.rebrickable.com/media/sets/42028-1.jpg
42029-1,Customized Pick up Truck,2014,1,1063,https://cdn.rebrickable.com/media/sets/42029-1.jpg
42030-1,Remote-Controlled Volvo L350F Wheel Loader,2014,1,1636,https://cdn.rebrickable.com/media/sets/42030-1.jpg
